NT_ref	NT_text	reuse_label	Ps_ref	Ps_text
Jn 1:47	vidit Iesus Nathanahel venientem ad se et dicit de eo ecce vere Israhelita in quo dolus non est	echo	Ps 31:2	beatus vir cui non inputabit Dominus peccatum nec est in spiritu eius dolus
Jn 1:49	respondit ei Nathanahel et ait rabbi tu es Filius Dei tu es rex Israhel	echo	Ps 2:7	Dominus dixit ad me filius meus es tu ego hodie genui te
Jn 2:17	recordati vero sunt discipuli eius quia scriptum est zelus domus tuae comedit me	quotation	Ps 68:10	quoniam zelus domus tuae comedit me et obprobria exprobrantium tibi ceciderunt super me
Jn 4:14	sed aqua quam dabo ei fiet in eo fons aquae salientis in vitam aeternam	echo	Ps 35:10	quoniam apud te fons vitae in lumine tuo videbimus lumen
Jn 4:20	patres nostri in monte hoc adoraverunt et vos dicitis quia Hierosolymis est locus ubi adorare oportet	echo	Ps 121:1-9	canticum graduum  huic David  laetatus sum in his quae dicta sunt mihi in domum Domini ibimus stantes erant pedes nostri in atriis tuis Hierusalem Hierusalem quae aedificatur ut civitas cuius participatio eius in id ipsum illic enim ascenderunt tribus tribus Domini testimonium Israhel ad confitendum nomini Domini quia illic sederunt sedes in iudicium sedes super domum David rogate quae ad pacem sunt Hierusalem et abundantia diligentibus te fiat pax in virtute tua et abundantia in turribus tuis propter fratres meos et proximos meos loquebar pacem de te propter domum Domini Dei nostri quaesivi bona tibi
Jn 4:36	et qui metit mercedem accipit et congregat fructum in vitam aeternam ut et qui seminat simul gaudeat et qui metit	echo	Ps 125:5-6	qui seminant in lacrimis in exultatione metent euntes ibant et flebant portantes semina sua  venientes autem venient in exultatione portantes manipulos suos
Jn 5:35	ille erat lucerna ardens et lucens vos autem voluistis exultare ad horam in luce eius	echo	Ps 131:16-17	sacerdotes eius induam salutari et sancti eius exultatione exultabunt illic producam cornu David paravi lucernam christo meo
Jn 6:21	voluerunt ergo accipere eum in navi et statim fuit navis ad terram quam ibant	echo	Ps 106:30	et laetati sunt quia siluerunt et deduxit eos in portum voluntatis eorum
Jn 6:31	patres nostri manna manducaverunt in deserto sicut scriptum est panem de caelo dedit eis manducare	quotation	Ps 77:24	et pluit illis manna ad manducandum et panem caeli dedit eis
Jn 7:18	qui a semet ipso loquitur gloriam propriam quaerit qui autem quaerit gloriam eius qui misit illum hic verax est et iniustitia in illo non est	quotation	Ps 91:16	ut adnuntient  quoniam rectus Dominus Deus noster et non est iniquitas in eo
Jn 7:38	qui credit in me sicut dixit scriptura flumina de ventre eius fluent aquae vivae	quotation	Ps 77:16	et eduxit aquam de petra et deduxit tamquam flumina aquas
Jn 7:38	qui credit in me sicut dixit scriptura flumina de ventre eius fluent aquae vivae	quotation	Ps 77:20	quoniam percussit petram et fluxerunt aquae et torrentes inundaverunt numquid et panem potest dare aut parare mensam populo suo
Jn 7:42	nonne scriptura dicit quia ex semine David et Bethleem castello ubi erat David venit Christus	echo	Ps 88:4	disposui testamentum electis meis iuravi David servo meo
Jn 9:31	scimus autem quia peccatores Deus non audit sed si quis Dei cultor est et voluntatem eius facit hunc exaudit	echo	Ps 65:18	iniquitatem si aspexi in corde meo non exaudiat Dominus
Jn 9:31	scimus autem quia peccatores Deus non audit sed si quis Dei cultor est et voluntatem eius facit hunc exaudit	echo	Ps 144:19	voluntatem timentium se faciet et deprecationem eorum exaudiet et salvos faciet eos
Jn 9:34	responderunt et dixerunt ei in peccatis natus es totus et tu doces nos et eiecerunt eum foras	echo	Ps 50:7	ecce enim in iniquitatibus conceptus sum et in peccatis concepit me mater mea
Jn 10:3	huic ostiarius aperit et oves vocem eius audiunt et proprias oves vocat nominatim et educit eas	echo	Ps 94:7	quia ipse est Deus noster et nos populus pascuae eius et oves manus eius
Jn 10:4	et cum proprias oves emiserit ante eas vadit et oves illum sequuntur quia sciunt vocem eius	echo	Ps 79:2	qui regis Israhel intende qui deducis tamquam oves Ioseph  qui sedes super cherubin manifestare
Jn 10:9	ego sum ostium per me si quis introierit salvabitur et ingredietur et egredietur et pascua inveniet	echo	Ps 117:20	haec porta Domini iusti intrabunt in eam
Jn 10:9	ego sum ostium per me si quis introierit salvabitur et ingredietur et egredietur et pascua inveniet	echo	Ps 117:20	haec porta Domini iusti intrabunt in eam
Jn 10:34	respondit eis Iesus nonne scriptum est in lege vestra quia ego dixi dii estis	quotation	Ps 81:6	ego dixi dii estis et filii Excelsi omnes
Jn 12:13	acceperunt ramos palmarum et processerunt obviam ei et clamabant osanna benedictus qui venit in nomine Domini rex Israhel	quotation	Ps 117:26	benedictus qui venturus est in nomine Domini  benediximus vobis de domo Domini
Jn 12:27	nunc anima mea turbata est et quid dicam Pater salvifica me ex hora hac sed propterea veni in horam hanc	echo	Ps 30:10	miserere mei Domine quoniam tribulor conturbatus est in ira oculus meus anima mea et venter meus
Jn 12:34	respondit ei turba nos audivimus ex lege quia Christus manet in aeternum et quomodo tu dicis oportet exaltari Filium hominis quis est iste Filius hominis	echo	Ps 88:37	semen eius in aeternum manebit
Jn 12:27	nunc anima mea turbata est et quid dicam Pater salvifica me ex hora hac sed propterea veni in horam hanc	quotation	Ps 6:4	et anima mea turbata est valde et tu Domine usquequo
Jn 13:18	non de omnibus vobis dico ego scio quos elegerim sed ut impleatur scriptura qui manducat mecum panem levavit contra me calcaneum suum	quotation	Ps 40:10	etenim homo pacis meae in quo speravi qui edebat panes meos magnificavit super me subplantationem
Jn 15:25	sed ut impleatur sermo qui in lege eorum scriptus est quia odio me habuerunt gratis	quotation	Ps 34:19	non supergaudeant mihi qui adversantur mihi inique qui oderunt me gratis et annuunt oculis
Jn 15:25	sed ut impleatur sermo qui in lege eorum scriptus est quia odio me habuerunt gratis	quotation	Ps 68:5	multiplicati sunt super capillos capitis mei qui oderunt me gratis confortati sunt qui persecuti sunt me  inimici mei iniuste quae non rapui tunc exsolvebam
Jn 16:13	cum autem venerit ille Spiritus veritatis docebit vos in omnem veritatem non enim loquetur a semet ipso sed quaecumque audiet loquetur et quae ventura sunt adnuntiabit vobis	echo	Ps 24:5	dirige me in veritatem tuam et doce me quoniam tu es Deus salvator meus et te sustinui tota die
Jn 17:12	cum essem cum eis ego servabam eos in nomine tuo quos dedisti mihi custodivi et nemo ex his perivit nisi filius perditionis ut scriptura impleatur	echo	Ps 40:10	etenim homo pacis meae in quo speravi qui edebat panes meos magnificavit super me subplantationem
Jn 17:17	sanctifica eos in veritate sermo tuus veritas est	echo	Ps 118:142	iustitia tua iustitia in aeternum et lex tua veritas
Jn 17:17	sanctifica eos in veritate sermo tuus veritas est	echo	Ps 118:160	principium verborum tuorum veritas et in aeternum omnia iudicia iustitiae tuae
Jn 19:24	dixerunt ergo ad invicem non scindamus eam sed sortiamur de illa cuius sit ut scriptura impleatur dicens partiti sunt vestimenta mea sibi et in vestem meam miserunt sortem et milites quidem haec fecerunt	quotation	Ps 21:19	diviserunt sibi vestimenta mea et super vestem meam miserunt sortem
Jn 19:29	vas ergo positum erat aceto plenum illi autem spongiam plenam aceto hysopo circumponentes obtulerunt ori eius	echo	Ps 62:2	Deus Deus meus ad te de luce vigilo  sitivit in te anima mea quam multipliciter tibi caro mea
Jn 19:29	vas ergo positum erat aceto plenum illi autem spongiam plenam aceto hysopo circumponentes obtulerunt ori eius	echo	Ps 68:22	et dederunt in escam meam fel et in siti mea potaverunt me aceto
Jn 19:36	facta sunt enim haec ut scriptura impleatur os non comminuetis ex eo	quotation	Ps 33:21	Dominus  custodit omnia ossa eorum unum ex his non conteretur
Jn 19:28-29	postea sciens Iesus quia iam omnia consummata sunt ut consummaretur scriptura dicit sitio vas ergo positum erat aceto plenum illi autem spongiam plenam aceto hysopo circumponentes obtulerunt ori eius	quotation	Ps 68:22	et dederunt in escam meam fel et in siti mea potaverunt me aceto
Jn 20:28	respondit Thomas et dixit ei Dominus meus et Deus meus	echo	Ps 34:23	exsurge et intende iudicio meo Deus meus et Dominus meus in causam meam
Lk 1:33	et regnabit in domo Iacob in aeternum et regni eius non erit finis	coincidence	Ps 44:1	in finem  pro his qui commutabuntur filiis Core ad intellectum canticum pro dilecto
Lk 1:33	et regnabit in domo Iacob in aeternum et regni eius non erit finis	coincidence	Ps 56:1	in finem  ne disperdas David in tituli inscriptione cum fugeret a facie Saul in spelunca
Lk 1:33	et regnabit in domo Iacob in aeternum et regni eius non erit finis	echo	Ps 48:10	et vivet adhuc in finem
Lk 1:46	et ait Maria magnificat anima mea Dominum	echo	Ps 145:1	alleluia  Aggei et Zacchariae
Lk 1:47	et exultavit spiritus meus in Deo salutari meo	echo	Ps 94:1	laus cantici David  venite exultemus Domino iubilemus Deo salutari nostro
Lk 1:49	quia fecit mihi magna qui potens est et sanctum nomen eius	echo	Ps 98:3	confiteantur nomini tuo magno quoniam terribile et sanctum est
Lk 1:46	et ait Maria magnificat anima mea Dominum	quotation	Ps 33:3-4	in Domino laudabitur anima mea audiant mansueti et laetentur magnificate Dominum mecum et exaltemus nomen eius in id ipsum
Lk 1:47	et exultavit spiritus meus in Deo salutari meo	quotation	Ps 34:9	anima autem mea exultabit in Domino delectabitur super salutari suo
Lk 1:48	quia respexit humilitatem ancillae suae ecce enim ex hoc beatam me dicent omnes generationes	echo	Ps 71:17	sit nomen eius benedictum in saecula ante solem permanet nomen eius  et benedicentur in ipso omnes tribus terrae omnes gentes beatificabunt eum
Lk 1:49	quia fecit mihi magna qui potens est et sanctum nomen eius	echo	Ps 70:19	usque in altissima et iustitiam tuam  Deus   quae fecisti magnalia Deus quis similis tibi
Lk 1:50	et misericordia eius in progenies et progenies timentibus eum	quotation	Ps 102:17	misericordia autem Domini ab aeterno et usque in aeternum super timentes eum  et iustitia illius in filios filiorum
Lk 1:50	et misericordia eius in progenies et progenies timentibus eum	echo	Ps 88:2	misericordias Domini in aeternum cantabo in generationem  et generationem adnuntiabo veritatem tuam in ore meo
Lk 1:50	et misericordia eius in progenies et progenies timentibus eum	echo	Ps 99:5	quoniam suavis Dominus in aeternum misericordia eius et usque in generationem et generationem veritas eius
Lk 1:51	fecit potentiam in brachio suo dispersit superbos mente cordis sui	quotation	Ps 88:10-11	tu dominaris potestatis maris motum autem fluctuum eius tu mitigas tu humiliasti sicut vulneratum superbum in brachio virtutis tuae dispersisti inimicos tuos
Lk 1:51	fecit potentiam in brachio suo dispersit superbos mente cordis sui	echo	Ps 88:11	tu humiliasti sicut vulneratum superbum in brachio virtutis tuae dispersisti inimicos tuos
Lk 1:51	fecit potentiam in brachio suo dispersit superbos mente cordis sui	echo	Ps 67:2	exsurgat Deus et dissipentur inimici eius et fugiant qui oderunt eum a facie eius
Lk 1:51	fecit potentiam in brachio suo dispersit superbos mente cordis sui	echo	Ps 117:15-16	vox exultationis et salutis in tabernaculis iustorum dextera Domini fecit virtutem  dextera Domini exaltavit me dextera Domini fecit virtutem
Lk 1:53	esurientes implevit bonis et divites dimisit inanes	echo	Ps 33:11	divites  eguerunt et esurierunt inquirentes autem Dominum non minuentur omni bono  diapsalma
Lk 1:54	suscepit Israhel puerum suum memorari misericordiae	quotation	Ps 97:3	recordatus est misericordiae suae   et veritatem suam domui Israhel  viderunt omnes termini terrae salutare Dei nostri
Lk 1:58	et audierunt vicini et cognati eius quia magnificavit Dominus misericordiam suam cum illa et congratulabantur ei	echo	Ps 125:2-3	tunc repletum est gaudio os nostrum et lingua nostra exultatione  tunc dicent inter gentes  magnificavit Dominus facere cum eis magnificavit Dominus facere nobiscum facti sumus laetantes
Lk 1:68	benedictus Deus Israhel quia visitavit et fecit redemptionem plebi suae	quotation	Ps 40:14	benedictus Dominus Deus Israhel a saeculo et in saeculum fiat fiat
Lk 1:68	benedictus Deus Israhel quia visitavit et fecit redemptionem plebi suae	quotation	Ps 71:18	benedictus Dominus Deus Deus Israhel qui facit mirabilia solus
Lk 1:71	salutem ex inimicis nostris et de manu omnium qui oderunt nos	echo	Ps 17:18	eripiet me de inimicis meis fortissimis et ab his qui oderunt me quoniam confirmati sunt super me
Lk 1:74	daturum se nobis  ut sine timore de manu inimicorum nostrorum liberati serviamus illi	echo	Ps 96:10	qui diligitis Dominum odite malum custodit animas sanctorum suorum de manu peccatoris liberabit eos
Lk 1:79	inluminare his qui in tenebris et in umbra mortis sedent ad dirigendos pedes nostros in viam pacis	quotation	Ps 106:10	sedentes in tenebris et umbra mortis vinctos in mendicitate et ferro
Lk 1:79	inluminare his qui in tenebris et in umbra mortis sedent ad dirigendos pedes nostros in viam pacis	echo	Ps 106:14	et eduxit eos de tenebris et umbra mortis et vincula eorum disrupit
Lk 1:49	quia fecit mihi magna qui potens est et sanctum nomen eius	quotation	Ps 110:9	redemptionem misit populo suo   mandavit in aeternum testamentum suum   sanctum et terribile nomen eius
Lk 1:53	esurientes implevit bonis et divites dimisit inanes	quotation	Ps 106:9	quia satiavit animam inanem et animam esurientem satiavit bonis
Lk 1:68	benedictus Deus Israhel quia visitavit et fecit redemptionem plebi suae	quotation	Ps 105:48	benedictus Dominus Deus Israhel a saeculo et usque in saeculum et dicet omnis populus fiat  fiat
Lk 1:68	benedictus Deus Israhel quia visitavit et fecit redemptionem plebi suae	quotation	Ps 110:9	redemptionem misit populo suo   mandavit in aeternum testamentum suum   sanctum et terribile nomen eius
Lk 1:69	et erexit cornu salutis nobis in domo David pueri sui	echo	Ps 131:17	illic producam cornu David paravi lucernam christo meo
Lk 1:69-70	et erexit cornu salutis nobis in domo David pueri sui sicut locutus est per os sanctorum qui a saeculo sunt prophetarum eius	coincidence	Ps 17:1-3	in finem  puero Domini David quae locutus est Domino verba cantici huius in die qua eripuit eum Dominus de manu omnium inimicorum eius et de manu Saul  et dixit diligam te Domine fortitudo mea Dominus firmamentum meum et refugium meum et liberator meus Deus meus adiutor meus et sperabo in eum  protector meus et cornu salutis meae et susceptor meus
Lk 1:71	salutem ex inimicis nostris et de manu omnium qui oderunt nos	quotation	Ps 105:10	et salvavit eos de manu odientium et redemit eos de manu inimici
Lk 1:72	ad faciendam misericordiam cum patribus nostris et memorari testamenti sui sancti	quotation	Ps 105:45	et memor fuit testamenti sui et paenituit eum secundum multitudinem misericordiae suae
Lk 1:72-73	ad faciendam misericordiam cum patribus nostris et memorari testamenti sui sancti iusiurandum quod iuravit ad Abraham patrem nostrum	quotation	Ps 104:8-9	memor fuit in saeculum testamenti sui verbi quod mandavit in mille generationes quod disposuit ad Abraham et iuramenti sui ad Isaac
Lk 2:14	gloria in altissimis Deo et in terra pax in hominibus bonae voluntatis	coincidence	Ps 50:20	benigne fac Domine in bona voluntate tua Sion et aedificentur muri Hierusalem
Lk 2:14	gloria in altissimis Deo et in terra pax in hominibus bonae voluntatis	coincidence	Ps 88:18	quoniam gloria virtutis eorum tu es et in beneplacito tuo exaltabitur cornu nostrum
Lk 2:26	et responsum acceperat ab Spiritu Sancto non visurum se mortem nisi prius videret Christum Domini	echo	Ps 88:49	quis est homo qui vivet et non videbit mortem eruet animam suam de manu inferi  diapsalma
Lk 2:30	quia viderunt oculi mei salutare tuum	echo	Ps 66:3	ut cognoscamus in terra viam tuam in omnibus gentibus salutare tuum
Lk 2:30	quia viderunt oculi mei salutare tuum	echo	Ps 97:2-3	notum fecit Dominus salutare suum in conspectu gentium revelavit iustitiam suam recordatus est misericordiae suae   et veritatem suam domui Israhel  viderunt omnes termini terrae salutare Dei nostri
Lk 3:6	et videbit omnis caro salutare Dei	echo	Ps 66:3	ut cognoscamus in terra viam tuam in omnibus gentibus salutare tuum
Lk 3:6	et videbit omnis caro salutare Dei	echo	Ps 97:3	recordatus est misericordiae suae   et veritatem suam domui Israhel  viderunt omnes termini terrae salutare Dei nostri
Lk 3:22	et descendit Spiritus Sanctus corporali specie sicut columba in ipsum et vox de caelo facta est tu es Filius meus dilectus in te conplacuit mihi	quotation	Ps 2:7	Dominus dixit ad me filius meus es tu ego hodie genui te
Lk 4:10-11	scriptum est enim quod angelis suis mandabit de te ut conservent te et quia in manibus tollent te ne forte offendas ad lapidem pedem tuum	quotation	Ps 90:11-12	quoniam angelis suis mandabit de te ut custodiant te in omnibus viis tuis in manibus portabunt te ne forte offendas ad lapidem pedem tuum
Lk 4:6-8	et ait ei tibi dabo potestatem hanc universam et gloriam illorum quia mihi tradita sunt et cui volo do illa tu ergo si adoraveris coram me erunt tua omnia et respondens Iesus dixit illi scriptum est Dominum Deum tuum adorabis et illi soli servies	echo	Ps 2:8	postula a me et dabo tibi gentes hereditatem tuam et possessionem tuam terminos terrae
Lk 6:21	beati qui nunc esuritis quia saturabimini beati qui nunc fletis quia ridebitis	echo	Ps 125:5-6	qui seminant in lacrimis in exultatione metent euntes ibant et flebant portantes semina sua  venientes autem venient in exultatione portantes manipulos suos
Lk 6:35	verumtamen diligite inimicos vestros et benefacite et mutuum date nihil desperantes et erit merces vestra multa et eritis filii Altissimi quia ipse benignus est super ingratos et malos	echo	Ps 85:5	quoniam tu Domine suavis et mitis et multae misericordiae omnibus invocantibus te
Lk 6:35	verumtamen diligite inimicos vestros et benefacite et mutuum date nihil desperantes et erit merces vestra multa et eritis filii Altissimi quia ipse benignus est super ingratos et malos	echo	Ps 24:8	dulcis et rectus Dominus propter hoc legem dabit delinquentibus in via
Lk 6:38	date et dabitur vobis mensuram bonam confersam et coagitatam et supereffluentem dabunt in sinum vestrum eadem quippe mensura qua mensi fueritis remetietur vobis	echo	Ps 78:12	et redde vicinis nostris septuplum in sinu eorum inproperium ipsorum quod exprobraverunt tibi Domine
Lk 7:30	Pharisaei autem et legis periti consilium Dei spreverunt in semet ipsos non baptizati ab eo	coincidence	Ps 32:11	consilium autem Domini in aeternum manet cogitationes cordis eius in generatione et generationem
Lk 7:46	oleo caput meum non unxisti haec autem unguento unxit pedes meos	quotation	Ps 22:5	parasti in conspectu meo mensam adversus eos qui tribulant me  inpinguasti in oleo caput meum et calix meus inebrians  quam praeclarus est
Lk 8:24	accedentes autem suscitaverunt eum dicentes praeceptor perimus at ille surgens increpavit ventum et tempestatem aquae et cessavit et facta est tranquillitas	echo	Ps 64:8	qui conturbas profundum maris sonum fluctuum eius  turbabuntur gentes
Lk 8:24	accedentes autem suscitaverunt eum dicentes praeceptor perimus at ille surgens increpavit ventum et tempestatem aquae et cessavit et facta est tranquillitas	echo	Ps 88:10	tu dominaris potestatis maris motum autem fluctuum eius tu mitigas
Lk 9:35	et vox facta est de nube dicens hic est Filius meus electus ipsum audite	coincidence	Ps 105:23	et dixit ut disperderet eos si non Moses electus eius stetisset in confractione in conspectu eius  ut averteret iram eius ne disperderet eos
Lk 9:35	et vox facta est de nube dicens hic est Filius meus electus ipsum audite	echo	Ps 88:20	tunc locutus es in visione sanctis tuis et dixisti posui adiutorium in potentem exaltavi electum de plebe mea
Lk 10:21	in ipsa hora exultavit Spiritu Sancto et dixit confiteor tibi Pater Domine caeli et terrae quod abscondisti haec a sapientibus et prudentibus et revelasti ea parvulis etiam Pater quia sic placuit ante te	echo	Ps 135:26	confitemini Deo caeli quoniam in aeternum misericordia eius  confitemini Domino dominorum quoniam in aeternum misericordia eius
Lk 10:41	et respondens dixit illi Dominus Martha Martha sollicita es et turbaris erga plurima	echo	Ps 54:23	iacta super Dominum curam tuam et ipse te enutriet non dabit in aeternum fluctuationem iusto
Lk 10:42	porro unum est necessarium Maria optimam partem elegit quae non auferetur ab ea	echo	Ps 15:5-6	Dominus pars hereditatis meae et calicis mei tu es qui restitues hereditatem meam mihi funes ceciderunt mihi in praeclaris etenim hereditas mea praeclara est mihi
Lk 10:42	porro unum est necessarium Maria optimam partem elegit quae non auferetur ab ea	echo	Ps 72:26	defecit caro mea et cor meum Deus cordis mei et pars mea Deus in aeternum
Lk 10:42	porro unum est necessarium Maria optimam partem elegit quae non auferetur ab ea	echo	Ps 118:57	heth  portio mea Dominus dixi custodire legem tuam
Lk 10:19	ecce dedi vobis potestatem calcandi supra serpentes et scorpiones et supra omnem virtutem inimici et nihil vobis nocebit	echo	Ps 90:12-13	in manibus portabunt te ne forte offendas ad lapidem pedem tuum super aspidem et basiliscum ambulabis et conculcabis leonem et draconem
Lk 12:5	ostendam autem vobis quem timeatis timete eum qui postquam occiderit habet potestatem mittere in gehennam ita dico vobis hunc timete	echo	Ps 118:120	confige timore tuo carnes meas a iudiciis enim tuis timui
Lk 12:20	dixit autem illi Deus stulte hac nocte animam tuam repetunt a te quae autem parasti cuius erunt	echo	Ps 38:7	verumtamen in imagine pertransit homo sed et frustra conturbatur thesaurizat et ignorat cui congregabit ea
Lk 12:21	sic est qui sibi thesaurizat et non est in Deum dives	echo	Ps 48:17-21	ne timueris cum dives factus fuerit homo et cum multiplicata fuerit gloria domus eius quoniam cum interierit non sumet omnia neque descendet cum eo pone gloria eius quia anima eius in vita ipsius benedicetur confitebitur tibi cum benefeceris ei introibit usque in progenies patrum suorum usque in aeternum non videbit lumen homo in honore cum esset non intellexit conparatus est iumentis insipientibus  et similis factus est illis
Lk 12:24	considerate corvos quia non seminant neque metunt quibus non est cellarium neque horreum et Deus pascit illos quanto magis vos pluris estis illis	echo	Ps 146:9	et dat iumentis escam ipsorum et pullis corvorum invocantibus eum
Lk 13:3	non dico vobis sed nisi paenitentiam habueritis omnes similiter peribitis	echo	Ps 7:13	nisi conversi fueritis gladium suum vibrabit arcum suum tetendit et paravit illum
Lk 13:27	et dicet vobis nescio vos unde sitis discedite a me omnes operarii iniquitatis	quotation	Ps 6:9	discedite a me omnes qui operamini iniquitatem quoniam exaudivit Dominus vocem fletus mei
Lk 13:29	et venient ab oriente et occidente et aquilone et austro et accumbent in regno Dei	echo	Ps 106:3	a solis ortu et occasu et ab aquilone et mari
Lk 13:34	Hierusalem Hierusalem quae occidis prophetas et lapidas eos qui mittuntur ad te quotiens volui congregare filios tuos quemadmodum avis nidum suum sub pinnis et noluisti	echo	Ps 90:4	in scapulis suis obumbrabit te et sub pinnis eius sperabis
Lk 13:34	Hierusalem Hierusalem quae occidis prophetas et lapidas eos qui mittuntur ad te quotiens volui congregare filios tuos quemadmodum avis nidum suum sub pinnis et noluisti	coincidence	Ps 35:8	quemadmodum multiplicasti misericordiam tuam Deus  filii autem hominum in tegmine alarum tuarum sperabunt
Lk 13:35	ecce relinquitur vobis domus vestra dico autem vobis quia non videbitis me donec veniat cum dicetis benedictus qui venit in nomine Domini	quotation	Ps 117:26	benedictus qui venturus est in nomine Domini  benediximus vobis de domo Domini
Lk 13:35	ecce relinquitur vobis domus vestra dico autem vobis quia non videbitis me donec veniat cum dicetis benedictus qui venit in nomine Domini	echo	Ps 68:26	fiat habitatio eorum deserta et in tabernaculis eorum non sit qui inhabitet
Lk 13:19	simile est grano sinapis quod acceptum homo misit in hortum suum et crevit et factum est in arborem magnam et volucres caeli requieverunt in ramis eius	echo	Ps 103:12	super ea volucres caeli habitabunt de medio petrarum dabunt vocem
Lk 14:32-33	alioquin adhuc illo longe agente legationem mittens rogat ea quae pacis sunt sic ergo omnis ex vobis qui non renuntiat omnibus quae possidet non potest meus esse discipulus	coincidence	Ps 121:6	rogate quae ad pacem sunt Hierusalem et abundantia diligentibus te
Lk 15:18	surgam et ibo ad patrem meum et dicam illi pater peccavi in caelum et coram te	quotation	Ps 50:6	tibi soli peccavi et malum coram te feci ut iustificeris in sermonibus tuis et vincas cum iudicaris
Lk 18:7	Deus autem non faciet vindictam electorum suorum clamantium ad se die ac nocte et patientiam habebit in illis	echo	Ps 21:3	Deus meus clamabo per diem et non exaudies et nocte et non ad insipientiam mihi
Lk 18:13	et publicanus a longe stans nolebat nec oculos ad caelum levare sed percutiebat pectus suum dicens Deus propitius esto mihi peccatori	echo	Ps 24:11	propter nomen tuum Domine et propitiaberis peccato meo multum est enim
Lk 18:13	et publicanus a longe stans nolebat nec oculos ad caelum levare sed percutiebat pectus suum dicens Deus propitius esto mihi peccatori	echo	Ps 50:3	miserere mei Deus secundum magnam misericordiam tuam  et secundum multitudinem miserationum tuarum dele iniquitatem meam
Lk 18:13-14	et publicanus a longe stans nolebat nec oculos ad caelum levare sed percutiebat pectus suum dicens Deus propitius esto mihi peccatori dico vobis descendit hic iustificatus in domum suam ab illo quia omnis qui se exaltat humiliabitur et qui se humiliat exaltabitur	echo	Ps 78:9	adiuva nos Deus salutaris noster propter gloriam nominis tui Domine libera nos et propitius esto peccatis nostris propter nomen tuum
Lk 19:38	dicentes benedictus qui venit rex in nomine Domini pax in caelo et gloria in excelsis	quotation	Ps 117:25-26	o Domine salvum fac o Domine prosperare benedictus qui venturus est in nomine Domini  benediximus vobis de domo Domini
Lk 19:44	ad terram prosternent te et filios qui in te sunt et non relinquent in te lapidem super lapidem eo quod non cognoveris tempus visitationis tuae	echo	Ps 136:9	beatus qui tenebit et adlidet parvulos tuos ad petram
Lk 20:17	ille autem aspiciens eos ait quid est ergo hoc quod scriptum est lapidem quem reprobaverunt aedificantes hic factus est in caput anguli	quotation	Ps 117:22	lapidem quem reprobaverunt aedificantes hic factus est in caput anguli
Lk 20:21	et interrogaverunt illum dicentes magister scimus quia recte dicis et doces et non accipis personam sed in veritate viam Dei doces	coincidence	Ps 81:2	usquequo iudicatis iniquitatem et facies peccatorum sumitis  diapsalma
Lk 20:42-43	et ipse David dicit in libro Psalmorum dixit Dominus Domino meo sede a dextris meis donec ponam inimicos tuos scabillum pedum tuorum	quotation	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Lk 21:33	caelum et terra transibunt verba autem mea non transient	echo	Ps 118:89	lamed  in aeternum Domine verbum tuum permanet in caelo
Lk 21:25-26	et erunt signa in sole et luna et stellis et in terris pressura gentium prae confusione sonitus maris et fluctuum arescentibus hominibus prae timore et expectatione quae supervenient universo orbi nam virtutes caelorum movebuntur	echo	Ps 45:4	sonaverunt et turbatae sunt aquae eorum conturbati sunt montes in fortitudine eius  diapsalma
Lk 21:25-26	et erunt signa in sole et luna et stellis et in terris pressura gentium prae confusione sonitus maris et fluctuum arescentibus hominibus prae timore et expectatione quae supervenient universo orbi nam virtutes caelorum movebuntur	echo	Ps 64:8	qui conturbas profundum maris sonum fluctuum eius  turbabuntur gentes
Lk 21:25-27	et erunt signa in sole et luna et stellis et in terris pressura gentium prae confusione sonitus maris et fluctuum arescentibus hominibus prae timore et expectatione quae supervenient universo orbi nam virtutes caelorum movebuntur et tunc videbunt Filium hominis venientem in nube cum potestate magna et maiestate	echo	Ps 88:10	tu dominaris potestatis maris motum autem fluctuum eius tu mitigas
Lk 22:32	ego autem rogavi pro te ut non deficiat fides tua et tu aliquando conversus confirma fratres tuos	echo	Ps 50:15	docebo iniquos vias tuas et impii ad te convertentur
Lk 22:69	ex hoc autem erit Filius hominis sedens a dextris virtutis Dei	echo	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Lk 23:36	inludebant autem ei et milites accedentes et acetum offerentes illi	echo	Ps 68:22	et dederunt in escam meam fel et in siti mea potaverunt me aceto
Lk 23:46	et clamans voce magna Iesus ait Pater in manus tuas commendo spiritum meum et haec dicens exspiravit	quotation	Ps 30:6	in manus tuas commendabo spiritum meum redemisti me Domine Deus veritatis
Lk 23:49	stabant autem omnes noti eius a longe et mulieres quae secutae erant eum a Galilaea haec videntes	quotation	Ps 87:9	longe fecisti notos meos a me posuerunt me abominationem sibi  traditus sum et non egrediebar
Lk 23:34	Iesus autem dicebat Pater dimitte illis non enim sciunt quid faciunt dividentes vero vestimenta eius miserunt sortes	quotation	Ps 21:18-19	dinumeraverunt omnia ossa mea ipsi vero consideraverunt et inspexerunt me diviserunt sibi vestimenta mea et super vestem meam miserunt sortem
Lk 23:35	et stabat populus expectans et deridebant illum principes cum eis dicentes alios salvos fecit se salvum faciat si hic est Christus Dei electus	quotation	Ps 21:9	speravit in Domino eripiat eum salvum faciat eum quoniam vult eum
